Cohort Year,Graduation Rate Type,LEA Entity ID,LEA Name,School Entity ID,School Name,County,Subgroup,Number Graduated,Number in Cohort,Percent Graduated
2010,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,All,37,45,82.2
2010,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Economically Disadvantaged,21,28,75.0
2010,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Female,13,16,81.3
2010,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Hispanic or Latino,*,*,*
2010,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Limited English Proficient,*,*,*
2010,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Male,24,29,82.8
2010,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Migrant,*,*,*
2010,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Students With Disabilities,*,*,*
2010,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,White,29,35,82.9
2010,4 Year,79075,"Academy of Hope, The",79101,Academy of Hope,Yavapai,All,*,*,*
2010,4 Year,79075,"Academy of Hope, The",79101,Academy of Hope,Yavapai,Economically Disadvantaged,*,*,*
2010,4 Year,79075,"Academy of Hope, The",79101,Academy of Hope,Yavapai,Female,*,*,*
2010,4 Year,79075,"Academy of Hope, The",79101,Academy of Hope,Yavapai,Hispanic or Latino,*,*,*
2010,4 Year,79075,"Academy of Hope, The",79101,Academy of Hope,Yavapai,Limited English Proficient,*,*,*
2010,4 Year,79075,"Academy of Hope, The",79101,Academy of Hope,Yavapai,Male,*,*,*
2010,4 Year,79075,"Academy of Hope, The",79101,Academy of Hope,Yavapai,Migrant,*,*,*
2010,4 Year,79075,"Academy of Hope, The",79101,Academy of Hope,Yavapai,Students With Disabilities,*,*,*
2010,4 Year,79075,"Academy of Hope, The",79101,Academy of Hope,Yavapai,White,*,*,*
