Cohort Year,Graduation Rate Type,LEA Entity ID,LEA Name,School Entity ID,School Name,County,Subgroup,Number Graduated,Number in Cohort,Percent Graduated in 4 Years
2014,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,All,34,41,82.93
2014,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Asian,*,*,*
2014,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Bottom25,*,*,*
2014,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Economically Disadvantaged,24,29,82.76
2014,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Female,13,16,81.25
2014,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Hispanic or Latino,14,17,82.35
2014,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Limited English Proficient,*,*,*
2014,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Male,21,25,84
2014,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Migrant,*,*,*
2014,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Students With Disabilities,*,*,*
2014,4 Year,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,White,19,23,82.61
2014,4 Year,79961,"Academy of Mathematics and Science, Inc.",79094,Academy of Math and Science,Pima,All,*,*,*
2014,4 Year,79961,"Academy of Mathematics and Science, Inc.",79094,Academy of Math and Science,Pima,Bottom25,*,*,*
2014,4 Year,79961,"Academy of Mathematics and Science, Inc.",79094,Academy of Math and Science,Pima,Economically Disadvantaged,*,*,*
2014,4 Year,79961,"Academy of Mathematics and Science, Inc.",79094,Academy of Math and Science,Pima,Female,*,*,*
2014,4 Year,79961,"Academy of Mathematics and Science, Inc.",79094,Academy of Math and Science,Pima,Hispanic or Latino,*,*,*
